word,definition,example,sent
irreparable,impossible to repair or make good,The accident caused irreparable damage to the antique vase.,False
irrevocable,not able to be changed or reversed,Once submitted, your decision is irrevocable.
itinerant,traveling from place to place,The itinerant worker moved wherever there were seasonal jobs available.,False
jaundiced,having or showing prejudice,He takes a jaundiced view of any new government initiatives.,False
jejune,naive, simplistic, and lacking in substance
jeopardize,put at risk,The scandal jeopardized his chance of winning the election.,False
jettison,throw or drop something from an aircraft or ship,They had to jettison some fuel before the emergency landing.,False
jingoism,extreme patriotism, especially in the form of aggressive foreign policy,The newspaper was criticized for promoting jingoism during the conflict.
jocular,fond of or characterized by joking; humorous,His jocular manner made him popular at parties.,False
jovial,cheerful and friendly,The jovial host made everyone feel welcome at the party.,False
judicious,showing good judgment,The manager made a judicious decision to delay the project.,False
juggernaut,a huge, powerful, and overwhelming force
juncture,a particular point in time,At this critical juncture, we need to decide whether to continue the project.
jurisprudence,the theory or philosophy of law,She studied jurisprudence at Oxford University.,False
juxtapose,place or deal with close together for contrasting effect,The documentary juxtaposes the wealth of the city with the poverty of the surrounding areas.,False
kaleidoscope,a constantly changing pattern or sequence of elements,The festival was a kaleidoscope of colors and sounds.,False
knotty,extremely difficult or complex,The negotiators faced a knotty problem that had no easy solution.,False
lachrymose,tearful or given to weeping,The movie's lachrymose ending left many in the audience crying.,False
lackluster,lacking in vitality, force, or conviction
laconic,using very few words,His laconic reply of "maybe" left me uncertain of his intentions.,False,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
laggard,a person who makes slow progress and falls behind others,The company was a laggard in adopting new technologies.,False
lambaste,criticize harshly,The critic lambasted the film for its poor acting and predictable plot.,False
lampoon,publicly criticize by using ridicule or satire,The sketch show lampoons political figures from all parties.,False
languid,lacking in vigor or vitality; slow and relaxed,She spent a languid afternoon reading in the hammock.,False
languish,lose or lack vitality; grow weak,The project languished after losing its main source of funding.,False
largesse,generosity in bestowing money or gifts,The charity event benefited from the largesse of several wealthy donors.,False
lascivious,feeling or revealing an overt sexual interest or desire,He gave her a lascivious look that made her uncomfortable.,False
latent,existing but not yet developed or manifest,She had a latent talent for music that wasn't discovered until adulthood.,False
laudable,deserving praise and commendation,His laudable efforts to help the community were recognized with an award.,False
lavish,sumptuously rich, elaborate, or luxurious
laxity,lack of strictness, severity, or care
lecherous,having or showing excessive sexual desire,She quit her job because of her boss's lecherous behavior.,False
legitimate,conforming to the law or to rules,The police questioned whether his business activities were legitimate.,False
lethargic,affected by lethargy; sluggish and apathetic,The hot weather made everyone feel lethargic and unwilling to work.,False
lethargy,a lack of energy and enthusiasm,After lunch, a lethargy seemed to settle over the office.
levity,humor or frivolity, especially when inappropriate,The judge scolded the attorney for his levity during the serious proceedings.
libertine,a person who freely indulges in sensual pleasures,In his youth, he had been known as a libertine
licentious,promiscuous and unprincipled in sexual matters,The novel was considered too licentious to be included in the school library.,False
limpid,clear and transparent,Her limpid explanation made the complex subject easy to understand.,False
lionize,treat as an object of great interest or importance,The returning astronauts were lionized by the media.,False
loquacious,tending to talk a great deal; garrulous,My loquacious seatmate on the plane told me his life story in great detail.,False
lucid,expressed clearly; easy to understand,Her lucid explanation helped me understand the complex concept.,False
ludicrous,so foolish or unreasonable as to be amusing,His claim to have read 100 books in a week was ludicrous.,False
lugubrious,looking or sounding sad and dismal,He gave a lugubrious sigh as he contemplated the work ahead.,False
luminous,giving off light; bright or shining,The luminous moon lit up the night sky.,False
lurid,very vivid in color, especially so as to create an unpleasantly harsh or jarring effect,The tabloid published lurid details of the celebrity scandal.
lustrous,having luster; shining,Her lustrous hair gleamed in the sunlight.,False
luxuriant,rich and profuse in growth,The valley was covered with luxuriant vegetation.,False
macabre,disturbing because concerned with or causing a fear of death,The haunted house was decorated with macabre images of skeletons and ghosts.,False
magnanimous,generous or forgiving, especially toward a rival or less powerful person,The champion was magnanimous in victory
magnate,a wealthy and influential businessperson,The media magnate owned newspapers in several countries.,False
magisterial,having or showing great authority,The professor delivered a magisterial lecture on ancient Rome.,False
magniloquent,using high-flown or bombastic language,His magniloquent speech impressed some but struck others as pompous.,False
maladroit,ineffective or bungling; clumsy,His maladroit handling of the situation only made things worse.,False
malaise,a general feeling of discomfort or unease,The economic downturn created a malaise that affected consumer confidence.,False
malapropism,the mistaken use of a word in place of a similar-sounding one,Her malapropism, saying "Specific Ocean" instead of "Pacific Ocean," caused much amusement.,False
malcontent,a person who is dissatisfied and rebellious,The organization was challenged by a group of malcontents who opposed the new policies.,False
malediction,a curse,The defeated wizard uttered a malediction against his conqueror.,False
malefactor,a person who commits a crime or does wrong,The police were searching for the malefactor who had vandalized the park.,False
malevolent,having or showing a wish to do evil to others,The villain in the story was a malevolent sorcerer bent on revenge.,False
malfeasance,wrongdoing, especially by a public official,The mayor was investigated for malfeasance after allegations of corruption.
malign,evil in nature or effect,The drug had malign side effects that weren't discovered until years later.,False
malleable,easily influenced; pliable,Young minds are malleable and open to new ideas.,False
malodorous,smelling very unpleasant,The malodorous garbage had to be removed immediately.,False
mandate,an official order or commission to do something,The election victory gave the party a mandate to implement its policies.,False
manifest,clear or obvious to the eye or mind,The effects of the drought were manifest in the withered crops.,False
manifold,many and various,The problem has manifold causes that need to be addressed separately.,False
manipulate,control or influence cleverly or unscrupulously,The politician tried to manipulate public opinion through misleading statements.,False
marginalize,treat a person or group as insignificant or peripheral,The new policy would marginalize rural communities.,False
martial,relating to fighting or war,The country has a long martial tradition.,False
martinet,a strict disciplinarian,The new teacher was a martinet who tolerated no talking in class.,False
maudlin,self-pityingly or tearfully sentimental,After a few drinks, he became maudlin and started reminiscing about his childhood.
maunder,talk in a rambling manner,The elderly patient would maunder about events from decades ago.,False
maverick,an unorthodox or independent-minded person,He was a maverick in the industry, always trying unconventional approaches.
mawkish,sentimental in an exaggerated or false way,The film's mawkish ending was too sweet to be believable.,False
maxim,a short, pithy statement expressing a general truth or rule of conduct,The coach often repeated the maxim
meander,to wander aimlessly,The river meanders through the valley before reaching the sea.,False
mediate,intervene in a dispute to bring about an agreement,The diplomat tried to mediate between the warring factions.,False
mediocre,of only moderate quality; not very good,Despite good reviews, I found the movie mediocre at best.
meditation,the practice of focusing one's mind for a period of time,She found that daily meditation reduced her stress levels.,False
melancholy,a feeling of pensive sadness,The rainy weather added to her sense of melancholy.,False
mellifluous,sweet or musical; pleasant to hear,She had a mellifluous voice that was perfect for radio.,False
mendacious,not telling the truth; lying,His mendacious account of the events was soon exposed.,False
mercenary,primarily concerned with making money at the expense of ethics,His mercenary attitude made him unpopular with his colleagues.,False
mercurial,subject to sudden or unpredictable changes of mood or mind,Her mercurial temperament made her difficult to work with.,False
meretricious,attractive in a showy or false way,The restaurant's meretricious decor couldn't compensate for its mediocre food.,False
mesmerize,capture the complete attention of someone,The dancer's performance mesmerized the audience.,False
metamorphosis,a complete change of form or character,The caterpillar undergoes a metamorphosis to become a butterfly.,False
meticulous,showing great attention to detail,She was meticulous in checking every calculation in the report.,False
milieu,a person's social environment,He thrived in the competitive milieu of Wall Street.,False
minatory,expressing or conveying a threat,The principal's minatory glare silenced the noisy classroom.,False
mindful,conscious or aware of something,She's always mindful of the impact her words can have on others.,False
minuscule,extremely small,The difference between the two products is minuscule.,False
minute,extremely small,There was a minute amount of poison, not enough to cause harm.
minutiae,the small, precise, or trivial details of something
mirage,an optical illusion caused by atmospheric conditions,The travelers saw a mirage of water in the desert.,False
mirth,amusement, especially as expressed in laughter,The comedian's jokes provoked much mirth in the audience.
misanthrope,a person who dislikes humankind and avoids human society,The misanthrope lived alone in a remote cabin, avoiding all contact with people.
misconstrue,interpret wrongly,She misconstrued his silence as agreement rather than confusion.,False
miscreant,a person who behaves badly or in a way that breaks the law,The police were searching for the miscreant who had vandalized the park.,False
miser,a person who hoards wealth and spends as little as possible,Despite his millions, he lived like a miser
misogynist,a person who dislikes or is prejudiced against women,He was revealed to be a misogynist after his discriminatory hiring practices were exposed.,False
mitigate,make less severe or serious,The new measures helped mitigate the effects of the drought.,False
mnemonic,a device such as a pattern of letters that aids memory,The mnemonic "Every Good Boy Deserves Fudge" helps remember musical notes.,False,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
modicum,a small quantity of a particular thing,He showed a modicum of interest in the proposal.,False
modicum,a small quantity of a particular thing,Even a modicum of exercise can improve your health.,False
modulation,the act of changing between different states,The singer's voice modulation was impressive, shifting easily between high and low notes.
mollify,appease the anger or anxiety of someone,He tried to mollify the customer by offering a discount.,False
momentous,of great importance or significance,They awaited the momentous decision of the Supreme Court.,False
monastic,relating to monks or life in a monastery,He preferred a monastic lifestyle of simplicity and quiet.,False
monotony,lack of variety and interest; tedious repetition,The monotony of the long journey made it difficult to stay awake.,False
moot,subject to debate or uncertainty,Whether this approach is better becomes a moot point if we can't afford it.,False
moribund,at the point of death; in terminal decline,The moribund company was unlikely to survive another year.,False
morose,sullen and ill-tempered,He became morose after losing his job and rarely smiled.,False
motive,a reason for doing something,The police tried to establish a motive for the crime.,False
multifarious,many and of various types,The report outlined the multifarious causes of the economic collapse.,False
mundane,lacking interest or excitement; dull,She was tired of her mundane job and wanted a new challenge.,False
munificent,characterized by great generosity,The munificent donation allowed the hospital to build a new wing.,False
myriad,a countless or extremely great number,The night sky was filled with a myriad of stars.,False
nadir,the lowest point,The company's stock reached its nadir during the financial crisis.,False
nascent,just coming into existence and beginning to display signs of future potential,The nascent technology showed promise but needed further development.,False
nefarious,wicked or criminal,The detective uncovered a nefarious plot to steal the crown jewels.,False
negligent,failing to take proper care,The driver was found negligent in causing the accident.,False
neologism,a newly coined word or expression,Social media has introduced many neologisms into everyday language.,False
neophyte,a person who is new to a subject or activity,As a neophyte in the financial world, she had a lot to learn.
nepotism,the practice of favoring relatives in employment,His promotion was viewed as nepotism since his uncle was the CEO.,False
nettle,irritate or annoy,His criticism nettled her more than she wanted to admit.,False
nexus,a connection or series of connections,The investigation revealed a nexus between the company and organized crime.,False
nibble,take small bites,The children nibbled on their cookies to make them last longer.,False
nonchalant,appearing casually calm and relaxed,He was nonchalant about the upcoming exam despite its importance.,False
nonplussed,so surprised and confused that one is unsure how to react,She was nonplussed by his unexpected marriage proposal.,False
nostrum,a medicine prepared by an unqualified person,The traveling salesman sold nostrums that he claimed could cure any ailment.,False
notorious,famous for some bad quality or deed,The area was notorious for its high crime rate.,False
novice,a person new to and inexperienced in a job or situation,As a novice driver, she was nervous on the highway.
noxious,harmful or toxic to living things,The factory released noxious fumes into the air.,False
nugatory,of no value or importance,Their objections proved nugatory as the project went ahead anyway.,False
obdurate,stubbornly refusing to change one's opinion or course of action,He remained obdurate in his opposition to the new policy.,False
obfuscate,render obscure or unclear,The politician tried to obfuscate the issue with complicated language.,False
oblivious,not aware of or concerned about what is happening,She was oblivious to the chaos around her as she read her book.,False
obloquy,strong public condemnation,The disgraced politician faced obloquy after the scandal.,False
obnoxious,extremely unpleasant,His obnoxious behavior at the party offended many guests.,False
obscure,not clearly expressed or easily understood,The professor's explanation was so obscure that few students understood it.,False
obsequious,obedient or attentive to an excessive degree,The obsequious waiter hovered around the table, constantly asking if everything was satisfactory.
obstinate,stubbornly refusing to change one's opinion or chosen course of action,She was obstinate in her refusal to apologize.,False
obstreperous,noisy and difficult to control,The obstreperous children made it impossible to hear the movie.,False
obtuse,slow to understand,He was being deliberately obtuse about the simple concept.,False
obviate,remove a need or difficulty,The new system will obviate the need for manual data entry.,False
odious,extremely unpleasant; repulsive,The dictator's odious policies led to widespread human rights abuses.,False
officious,intrusively enthusiastic in offering help or advice,The officious clerk kept suggesting products I didn't want.,False
oligarchy,a small group of people having control of a country or organization,The country had become an oligarchy controlled by a few wealthy families.,False
ominous,giving the worrying impression that something bad is going to happen,The dark clouds were ominous, suggesting a storm was approaching.
omnipotent,having unlimited power; able to do anything,In many religions, God is considered omnipotent.
omniscient,knowing everything,The novelist created an omniscient narrator who could see into all characters' thoughts.,False
onerous,involving a great deal of effort or difficulty,The onerous task of checking each entry manually took several days.,False
opaque,not able to be seen through; not transparent,The opaque curtains blocked out all the light.,False
opine,to express an opinion,The critic opined that the film was a masterpiece.,False
opportune,suitable or happening at a time that is suitable or convenient,His arrival at that opportune moment saved the situation.,False
opprobrium,harsh criticism or censure,His actions brought opprobrium from all sides of the political spectrum.,False
opulence,great wealth or luxuriousness,The hotel was known for its opulence and extravagant decor.,False
oppugn,to call into question the truth or validity of something,They sought to oppugn the witness's testimony by highlighting inconsistencies.,False
opulent,ostentatiously costly and luxurious,They live in an opulent mansion with marble floors and crystal chandeliers.,False
oratory,the art or practice of formal speaking in public,His powerful oratory moved the crowd to action.,False
ordain,order or decree,The court ordained that the children should live with their mother.,False
orthodox,following or conforming to the traditional or generally accepted rules,He holds orthodox views on economic policy.,False
oscillate,move or swing back and forth,The fan oscillated to cool the entire room.,False
ostentatious,characterized by vulgar or pretentious display,She disliked his ostentatious displays of wealth.,False
ostracize,exclude from a society or group,The whistleblower was ostracized by his former colleagues.,False
outlandish,looking or sounding bizarre or unfamiliar,He made outlandish claims about having supernatural powers.,False
outmoded,old-fashioned,His outmoded views on gender roles were not well-received by younger colleagues.,False
overt,done or shown openly; plainly apparent,There was no overt sign of disagreement during the meeting.,False
overture,an introduction to something more substantial,The peace talks were just an overture to more detailed negotiations.,False
overwrought,in a state of nervous excitement or anxiety,She was too overwrought to speak coherently after the accident.,False
pacify,quell the anger, agitation, or excitement of
palatable,pleasant to taste,The chef made the bitter medicine more palatable by mixing it with honey.,False
palpable,able to be touched or felt,There was a palpable sense of relief when the exam was over.,False
panacea,a solution or remedy for all difficulties or diseases,Exercise is not a panacea for all health problems.,False
panache,flamboyant confidence of style or manner,He played the role with panache and won critical acclaim.,False
pandemic,prevalent throughout an entire country or the world,The pandemic affected almost every country on Earth.,False
pandemonium,wild and noisy disorder or confusion; uproar,Pandemonium broke out when the fire alarm sounded.,False
pander,gratify or indulge an immoral or distasteful desire or taste,The newspaper was accused of pandering to people's fear of crime.,False
panegyric,a public speech or published text in praise of someone or something,The eulogy was a moving panegyric to his lifetime of service.,False
paradigm,a typical example or pattern of something,The company became a paradigm of successful online retail.,False
paradox,a seemingly absurd or contradictory statement that may nonetheless be true,The paradox of the situation was that by losing the battle, they won the war.
paragon,a person or thing regarded as a perfect example of a particular quality,She was considered a paragon of virtue in the community.,False
paramount,more important than anything else,Safety is paramount when working with dangerous materials.,False
paranoia,extreme and unreasonable feeling that other people do not like you or want to harm you,His paranoia made him suspicious of his closest friends.,False
paraphrase,express the meaning of something using different words,Can you paraphrase the author's main argument?,False
pariah,an outcast,After the scandal, he became a pariah in the business community.
parody,an imitation of the style of a particular writer or genre with deliberate exaggeration for comic effect,The film was a parody of classic horror movies.,False
paroxysm,a sudden attack or outburst of a particular emotion or activity,He collapsed in a paroxysm of coughing.,False
parsimonious,unwilling to spend money or use resources; stingy,The parsimonious manager refused to replace the outdated equipment.,False
partisan,a strong supporter of a party or cause,She was a partisan of environmental causes long before they became popular.,False
pasquinade,a satire or lampoon,The political cartoon was a scathing pasquinade of the corrupt official.,False
pastiche,an artistic work consisting of a medley of pieces imitating various sources,The novel was a pastiche of detective fiction styles through the ages.,False
patent,obvious,It was patent to everyone that he was lying.,False